,Date created,Tweet_ID,Tweet_text,clean_tweet
851,24-07-2020 06:52,1.29E+18,"fuck what I am having a breakdown, I will cry please please my boy ayush said I am gOoNgI ffs, shutup I am not dumb please🙂🙂🙂🙂🙂","fuck what I am having a breakdown, I will cry please please my boy ayush said I am gOoNgI ffs, shutup I am not dumb please🙂🙂🙂🙂🙂"
852,24-07-2020 06:52,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
853,24-07-2020 06:51,1.29E+18,@megatdanial I'm anti-beef/clout chasing you dumb fuck https://t.co/zGjJLqH1KT,I'm anti-beef/clout chasing you dumb fuck https://t.co/zGjJLqH1KT
854,24-07-2020 06:51,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
855,24-07-2020 06:50,1.29E+18,RT @1208_sunghoon: MNET REALLY A DUMB BITCH THEYRE REALLY RELEASING THE ILANDERS DANCE PERFORMANCE AS A TEASER WHAT THE FUCK ??????,RT MNET REALLY A DUMB BITCH THEYRE REALLY RELEASING THE ILANDERS DANCE PERFORMANCE AS A TEASER WHAT THE FUCK ??????
856,24-07-2020 06:50,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
857,24-07-2020 06:49,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
858,24-07-2020 06:49,1.29E+18,@nhhrn_ @yourfavhoney @jaeedemie @Diablo6OMF @ChumChums2400 @solterojack00 @eastmepls So you mad that instead of sa… https://t.co/tQNC5FMTAM,So you mad that instead of sa… https://t.co/tQNC5FMTAM
859,24-07-2020 06:49,1.29E+18,ngl lowkey hate it when people have every single one of their usernames fucking some dumb shit in japanese like fuc… https://t.co/t3cymTxaX2,ngl lowkey hate it when people have every single one of their usernames fucking some dumb shit in japanese like fuc… https://t.co/t3cymTxaX2
860,24-07-2020 06:49,1.29E+18,RT @markbspiegel: In the long run this kind of behavior is dumb. Just as Musk has developed such a reputation for being an asshole that no…,RT In the long run this kind of behavior is dumb. Just as Musk has developed such a reputation for being an asshole that no…
861,24-07-2020 06:48,1.29E+18,"@urlocaldogmom @JazDntGivAFck Ok I don’t know if this is real or not, but I work in grocery and see people do dumb… https://t.co/w1ExS93fGm","Ok I don’t know if this is real or not, but I work in grocery and see people do dumb… https://t.co/w1ExS93fGm"
862,24-07-2020 06:48,1.29E+18,ITS LOVE OSAMU FUCK YOU DUMB BITCH https://t.co/o4LEsRGMeT,ITS LOVE OSAMU FUCK YOU DUMB BITCH https://t.co/o4LEsRGMeT
863,24-07-2020 06:47,1.29E+18,@Kumorriii U HAD THE POCKET DUMB FUCK,U HAD THE POCKET DUMB FUCK
864,24-07-2020 06:46,1.29E+18,Im what they call - dumb as fuck,Im what they call - dumb as fuck
865,24-07-2020 06:46,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
866,24-07-2020 06:46,1.29E+18,"I don't give a fuck, dumb ass motherfuckers shaming me and others for not wanting to eat animals nor abuse them. YOU CAN KISS MY ASS.","I don't give a fuck, dumb ass motherfuckers shaming me and others for not wanting to eat animals nor abuse them. YOU CAN KISS MY ASS."
867,24-07-2020 06:45,1.29E+18,"RT @Wishes_She_Was: Don’t be a dumb fuck
Be a fun fuck",RT Don’t be a dumb fuck Be a fun fuck
868,24-07-2020 06:45,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
869,24-07-2020 06:45,1.29E+18,If I love you I would NEVER let you play the dumb bitch! Like you not bout to THINKING like that and fuck with me 😐,If I love you I would NEVER let you play the dumb bitch! Like you not bout to THINKING like that and fuck with me 😐
870,24-07-2020 06:45,1.29E+18,"@VEILZ_MRALI ocd and anxiety are both real dumb fuck, tum jaise log ek jaga kuch dekhte ho to professor ban kar har… https://t.co/sOkEyIG5Ou","ocd and anxiety are both real dumb fuck, tum jaise log ek jaga kuch dekhte ho to professor ban kar har… https://t.co/sOkEyIG5Ou"
871,24-07-2020 06:44,1.29E+18,we are dumb as fuck dru k ok LMFAO my knees too big anyways hap lut 1D Day10th anjiversayr beech https://t.co/XgDCoNtNj2,we are dumb as fuck dru k ok LMFAO my knees too big anyways hap lut 1D Day10th anjiversayr beech https://t.co/XgDCoNtNj2
872,24-07-2020 06:44,1.29E+18,how the fuck are some these lisards so dumb?? 😭😭😭 is it just the the fact that they are 12 y.o. or are they really that stupid??,how the fuck are some these lisards so dumb?? 😭😭😭 is it just the the fact that they are 12 y.o. or are they really that stupid??
873,24-07-2020 06:43,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
874,24-07-2020 06:43,1.29E+18,i hate bitches. i hate bitches. no one on soundcloud is answering my question. what va is this. what va is it. you… https://t.co/agZj3BVlZt,i hate bitches. i hate bitches. no one on soundcloud is answering my question. what va is this. what va is it. you… https://t.co/agZj3BVlZt
875,24-07-2020 06:42,1.29E+18,@lummoxacillin @YDanasmithdutra Add to it brazen and dumb as fuck,Add to it brazen and dumb as fuck
876,24-07-2020 06:40,1.29E+18,@adorelouandhaz ohhh okay fuck im dumb,ohhh okay fuck im dumb
877,24-07-2020 06:39,1.29E+18,"RT @GamingRational: @aimbotHAL @PTAofficialpk They will ban streamers too.
Thay are dumb as fuck.
#UNBANPUBGPAKISTAN 
#pubgbaninpakistan 
S…",RT They will ban streamers too. Thay are dumb as fuck. #UNBANPUBGPAKISTAN #pubgbaninpakistan S…
878,24-07-2020 06:39,1.29E+18,@MolefiLebone Dumb as fuck as all these people's followers. Firmer Model C schools aren't regular public schools! Dumb fuck,Dumb as fuck as all these people's followers. Firmer Model C schools aren't regular public schools! Dumb fuck
879,24-07-2020 06:38,1.29E+18,@zane Holy fuck😂😂😂😂😂,Holy fuck😂😂😂😂😂
880,24-07-2020 06:38,1.29E+18,dumb fuck got away 🤢🥴☠️ shit makes me angryyyyyy https://t.co/WbmZygKgNY,dumb fuck got away 🤢🥴☠️ shit makes me angryyyyyy https://t.co/WbmZygKgNY
881,24-07-2020 06:38,1.29E+18,@MrOlmos They are inside of the building doing nothing how the fuck are they trying to intimidate anyone. The only… https://t.co/sHo8ZjuSsX,They are inside of the building doing nothing how the fuck are they trying to intimidate anyone. The only… https://t.co/sHo8ZjuSsX
882,24-07-2020 06:37,1.29E+18,@harrisonmbamara Naso them hit that young pilot...May her soul #RIPTolulopeArotile .. fuck dumb friends,Naso them hit that young pilot...May her soul #RIPTolulopeArotile .. fuck dumb friends
883,24-07-2020 06:35,1.29E+18,@Powdercheesefbi @justin_fnm what in the living fuck makes u think ur mature bro u needa start realising ur wasting… https://t.co/n3yGP5ZcBa,what in the living fuck makes u think ur mature bro u needa start realising ur wasting… https://t.co/n3yGP5ZcBa
884,24-07-2020 06:35,1.29E+18,RT @nhhrn_: @yourfavhoney @jaeedemie @Diablo6OMF @ChumChums2400 @solterojack00 @eastmepls Using the term “colored” is way more racist than…,RT Using the term “colored” is way more racist than…
885,24-07-2020 06:35,1.29E+18,"Valorant: Congrats! You did really well in your last game, it wasn't even close or fair! Here's a rank up!

Also Va… https://t.co/tw6eRrxCb7","Valorant: Congrats! You did really well in your last game, it wasn't even close or fair! Here's a rank up! Also Va… https://t.co/tw6eRrxCb7"
886,24-07-2020 06:33,1.29E+18,"@PetiteNicoco Fuck both people tbh

I'm also goofy on cheap reisling and I'm sleepy cuz it's late so don't take me… https://t.co/mmGM17bHnZ",Fuck both people tbh I'm also goofy on cheap reisling and I'm sleepy cuz it's late so don't take me… https://t.co/mmGM17bHnZ
887,24-07-2020 06:33,1.29E+18,"It’s people literally out here dying, and this is what this dumb fuck piece of shit chooses to prioritize?!?????? https://t.co/23RM1gAiQz","It’s people literally out here dying, and this is what this dumb fuck piece of shit chooses to prioritize?!?????? https://t.co/23RM1gAiQz"
888,24-07-2020 06:32,1.29E+18,yea unfortunately... fuck that anthem and fuck that dumb ass flag https://t.co/020vuDMX4m,yea unfortunately... fuck that anthem and fuck that dumb ass flag https://t.co/020vuDMX4m
889,24-07-2020 06:32,1.29E+18,Are you dumb? Because fuck you,Are you dumb? Because fuck you
890,24-07-2020 06:32,1.29E+18,"real talk

fuck what y'all talkin bout!!!

THIS THE ONLY ALBUM DROP THAT MATTERS 😤🥵💯

shit go so fucking dumb,… https://t.co/KTBxkiJtV3","real talk fuck what y'all talkin bout!!! THIS THE ONLY ALBUM DROP THAT MATTERS 😤🥵💯 shit go so fucking dumb,… https://t.co/KTBxkiJtV3"
891,24-07-2020 06:32,1.29E+18,Might as well say #GOODBYE to #Australia as a country...the majority of them are #dumb as #fuck ....thinking… https://t.co/2vNuAmw0rr,Might as well say #GOODBYE to #Australia as a country...the majority of them are #dumb as #fuck ....thinking… https://t.co/2vNuAmw0rr
892,24-07-2020 06:31,1.29E+18,Who gave this dumb fuck a platform?🤦🏾‍♂️ white privilege at its finest https://t.co/X8eYDDT0Qc,Who gave this dumb fuck a platform?🤦🏾‍♂️ white privilege at its finest https://t.co/X8eYDDT0Qc
893,24-07-2020 06:30,1.29E+18,it disgusts me thinking that most of these perverts and dumb fuck enablers are also the ones who are active in yout… https://t.co/l2ewFsd86c,it disgusts me thinking that most of these perverts and dumb fuck enablers are also the ones who are active in yout… https://t.co/l2ewFsd86c
894,24-07-2020 06:30,1.29E+18,"RT @BrianArizona: U
You have to be a pretty dumb fuck to even consider the existence of 2 parties, much less believe it.","RT U You have to be a pretty dumb fuck to even consider the existence of 2 parties, much less believe it."
895,24-07-2020 06:29,1.29E+18,What a dumb fuck but goodluck 🤦‍♂️ u ain’t never played delayed a day in your life! U can’t shoot in that server so… https://t.co/E3JWj2jyJ0,What a dumb fuck but goodluck 🤦‍♂️ u ain’t never played delayed a day in your life! U can’t shoot in that server so… https://t.co/E3JWj2jyJ0
896,24-07-2020 06:29,1.29E+18,@jacobs_gord oh yeah finishe. nice spelling dumb fuck,oh yeah finishe. nice spelling dumb fuck
897,24-07-2020 06:28,1.29E+18,"haha damn I feel triggered
never asking no dumb ass boy about his day again lol fuck him and his day https://t.co/ZtEBvbo604",haha damn I feel triggered never asking no dumb ass boy about his day again lol fuck him and his day https://t.co/ZtEBvbo604
898,24-07-2020 06:28,1.29E+18,What kind of dumb fuck backwards shit is this??? https://t.co/IDM5zBQGhp,What kind of dumb fuck backwards shit is this??? https://t.co/IDM5zBQGhp
899,24-07-2020 06:28,1.29E+18,"RT @sanskariBaby: Don’t be a dumb fuck
Be a fun fuck",RT Don’t be a dumb fuck Be a fun fuck
900,24-07-2020 06:27,1.29E+18,@lummoxacillin @YDanasmithdutra Lot of them in county.. especially lately. Dumb as fuck and hair trigger macho temper,Lot of them in county.. especially lately. Dumb as fuck and hair trigger macho temper
